C09	1361660	1362049	BoFLC1.1	plus	0.401234567901235	3e-35	 139
C09	2085451	2085840	BoFLC1.1	minus	0.404320987654321	2e-36	 143
C09	21467204	21467608	BoFLC1.1	plus	0.416666666666667	2e-22	 100
C09	28880324	28882173	BoFLC1.1	minus	0.496913580246914	5e-17	83.2
C09	29591327	29591720	BoFLC1.1	minus	0.407407407407407	2e-51	 122
C09	40552216	40552641	BoFLC1.1	minus	0.422839506172839	1e-11	67.0
C09	48411452	48411847	BoFLC1.1	minus	0.407407407407407	2e-17	84.3
C09	61397519	61409514	BoFLC1.1	plus	0.466049382716049	3e-15	77.8
C09	63395901	63400455	BoFLC1.1	plus	0.864197530864197	2e-68	 236
C09	63419697	63439763	BoFLC1.4	plus	0.578680203045685	3e-31	 123
C09	63453538	63457730	BoFLC1.4	plus	0.578680203045685	3e-31	 123
C09	65172827	65173216	BoFLC1.1	plus	0.401234567901235	7e-33	 132
