BoAFLC1.1	C09	94.74	76	4	0	274	349	62525990	62526217	7e-54	 144
BoAFLC1.1	C09	100.00	58	0	0	217	274	62525811	62525984	7e-54	85.9
BoAFLC1.1	C09	92.86	84	6	0	78	161	62524736	62524987	2e-41	 158
BoAFLC1.1	C09	67.72	127	41	0	219	345	2043366	2042986	6e-36	 142
BoAFLC1.1	C09	94.44	54	3	0	108	161	62543307	62543468	1e-34	 108
BoAFLC1.1	C09	85.29	34	5	0	78	111	62543215	62543316	1e-34	57.8
BoAFLC1.1	C09	69.70	99	30	0	242	340	53131926	53132222	4e-32	 130
BoAFLC1.1	C09	97.67	43	1	0	119	161	62555067	62555195	1e-29	86.7
BoAFLC1.1	C09	85.71	35	5	0	78	112	62554943	62555047	1e-29	58.9
BoAFLC1.1	C09	90.00	10	1	0	110	119	62555041	62555070	1e-29	23.5
BoAFLC1.1	C09	98.33	60	1	0	1	60	62521626	62521805	9e-28	 117
BoAFLC1.1	C09	98.33	60	1	0	1	60	62538756	62538935	9e-28	 117
BoAFLC1.1	C09	98.33	60	1	0	1	60	62551939	62552118	9e-28	 117
BoAFLC1.1	C09	53.76	93	43	0	243	335	65688812	65689090	7e-21	95.5
BoAFLC1.1	C09	50.98	102	50	0	243	344	46773847	46774152	5e-20	92.8
BoAFLC1.1	C09	71.19	59	17	0	1	59	4746848	4746672	3e-19	90.5
BoAFLC1.1	C09	46.43	112	60	0	237	348	47153170	47153505	4e-18	87.0
BoAFLC1.1	C09	67.80	59	19	0	1	59	25282853	25283029	1e-17	85.9
BoAFLC1.1	C09	64.41	59	21	0	1	59	30442602	30442778	4e-17	84.0
BoAFLC1.1	C09	67.80	59	19	0	1	59	5099226	5099402	5e-17	83.6
BoAFLC1.1	C09	46.67	135	68	2	217	349	48370223	48369825	5e-17	83.6
BoAFLC1.1	C09	51.90	79	37	1	1	78	56381156	56380920	6e-17	83.2
BoAFLC1.1	C09	69.49	59	18	0	1	59	28143113	28142937	7e-17	83.2
BoAFLC1.1	C09	63.79	58	21	0	1	58	59416661	59416834	9e-17	82.8
BoAFLC1.1	C09	45.54	112	61	0	237	348	26388163	26387828	4e-16	80.9
BoAFLC1.1	C09	61.02	59	23	0	1	59	4839344	4839168	7e-16	80.1
BoAFLC1.1	C09	62.71	59	22	0	1	59	42004263	42004087	1e-15	79.7
BoAFLC1.1	C09	60.00	60	24	0	1	60	2714321	2714500	1e-15	79.3
BoAFLC1.1	C09	66.10	59	20	0	1	59	42022825	42022649	2e-15	78.6
BoAFLC1.1	C09	68.52	54	17	0	6	59	60504172	60504333	5e-15	77.4
BoAFLC1.1	C09	43.23	155	73	3	209	349	27847907	27848368	6e-14	74.3
BoAFLC1.1	C09	43.88	98	55	0	249	346	11797712	11798005	2e-13	72.8
BoAFLC1.1	C09	46.38	69	36	1	2	70	54035795	54035998	3e-12	68.9
BoAFLC1.1	C09	33.33	126	84	0	213	338	23817453	23817076	5e-12	68.6
BoAFLC1.1	C09	54.72	53	24	0	1	53	24787125	24787283	3e-11	65.9
BoAFLC1.1	C09	50.65	77	37	1	273	349	9655979	9655752	7e-11	64.7
BoAFLC1.1	C09	40.23	87	52	0	249	335	7038237	7037977	8e-11	64.7
BoAFLC1.1	C09	41.57	89	52	0	252	340	16620800	16620534	2e-10	63.5
BoAFLC1.1	C09	49.33	75	37	1	275	349	30690766	30690987	2e-10	63.2
BoAFLC1.1	C09	44.09	93	52	0	246	338	53744218	53744496	3e-10	62.8
BoAFLC1.1	C09	43.48	92	52	0	249	340	26825779	26825504	4e-10	62.4
BoAFLC1.1	C09	41.00	100	57	1	251	348	6897273	6897572	5e-10	62.4
BoAFLC1.1	C09	38.54	96	59	0	251	346	61077547	61077260	7e-10	61.6
BoAFLC1.1	C09	39.80	98	59	0	246	343	48405952	48406245	9e-10	61.2
BoAFLC1.1	C09	40.45	89	53	0	252	340	9610483	9610217	1e-09	60.8
BoAFLC1.1	C09	43.18	88	50	0	251	338	66395299	66395036	1e-09	60.8
BoAFLC1.1	C09	37.76	98	55	1	247	338	401341	401048	1e-09	60.8
BoAFLC1.1	C09	36.94	111	60	1	243	343	20332209	20331877	1e-09	60.8
BoAFLC1.1	C09	34.34	166	88	4	196	340	61621414	61621911	1e-09	60.5
BoAFLC1.1	C09	42.22	90	52	0	249	338	814963	815232	3e-09	59.7
BoAFLC1.1	C09	38.52	122	74	1	217	338	54301885	54302247	4e-09	59.3
BoAFLC1.1	C09	51.79	56	27	0	283	338	29856092	29856259	8e-09	58.2
BoAFLC1.1	C09	35.64	101	63	1	249	349	62097342	62097638	9e-09	58.2
BoAFLC1.1	C09	41.67	96	56	0	244	339	57271759	57272046	1e-08	58.2
BoAFLC1.1	C09	40.45	89	53	0	250	338	9850502	9850768	1e-08	57.8
BoAFLC1.1	C09	41.57	89	51	1	251	338	59531221	59530955	3e-08	56.6
BoAFLC1.1	C09	40.23	87	52	0	252	338	9452835	9453095	3e-08	56.6
BoAFLC1.1	C09	36.27	102	65	0	246	347	5316758	5317063	4e-08	56.2
BoAFLC1.1	C09	35.71	98	63	0	241	338	6620328	6620621	4e-08	56.2
BoAFLC1.1	C09	37.50	88	55	0	249	336	65304144	65304407	4e-08	56.2
BoAFLC1.1	C09	44.79	96	53	0	249	344	2593263	2592976	4e-08	56.2
BoAFLC1.1	C09	38.61	101	60	1	246	346	54925244	54924948	4e-08	55.8
BoAFLC1.1	C09	63.04	46	17	0	303	348	66443560	66443697	5e-08	55.8
BoAFLC1.1	C09	35.71	84	54	0	249	332	29676758	29676507	6e-08	55.5
BoAFLC1.1	C09	39.36	94	55	1	247	340	28090328	28090053	7e-08	55.5
BoAFLC1.1	C09	36.78	87	55	0	252	338	58903154	58903414	7e-08	55.5
BoAFLC1.1	C09	38.46	91	52	1	252	342	19822385	19822125	1e-07	54.7
BoAFLC1.1	C09	35.35	99	64	0	241	339	14662036	14661740	1e-07	54.7
BoAFLC1.1	C09	39.58	96	57	1	251	345	14555497	14555210	2e-07	54.3
BoAFLC1.1	C09	40.23	87	52	0	252	338	1787577	1787837	3e-07	53.5
BoAFLC1.1	C09	96.15	26	1	0	189	214	62525558	62525635	3e-07	53.1
BoAFLC1.1	C09	37.36	91	56	1	249	338	45014021	45014293	4e-07	52.8
BoAFLC1.1	C09	34.78	92	58	1	247	338	58018946	58019215	5e-07	52.8
BoAFLC1.1	C09	33.66	101	66	1	249	348	16528706	16528404	5e-07	52.8
BoAFLC1.1	C09	35.92	103	64	1	246	348	13336229	13336531	1e-06	51.2
BoAFLC1.1	C09	96.00	25	1	0	189	213	62555997	62556071	1e-06	51.2
BoAFLC1.1	C09	37.08	89	56	0	251	339	1370648	1370382	2e-06	50.8
BoAFLC1.1	C09	36.84	57	36	0	2	58	5835613	5835783	4e-06	50.1
BoAFLC1.1	C09	38.89	90	55	0	256	345	13260356	13260625	4e-06	49.7
BoAFLC1.2	C09	100.00	61	0	0	1	61	62521626	62521808	3e-31	 123
BoAFLC1.2	C09	100.00	61	0	0	1	61	62538756	62538938	3e-31	 123
BoAFLC1.2	C09	100.00	61	0	0	1	61	62551939	62552121	3e-31	 123
BoAFLC1.2	C09	69.49	59	18	0	1	59	4746848	4746672	3e-19	87.8
BoAFLC1.2	C09	66.10	59	20	0	1	59	25282853	25283029	2e-17	82.4
BoAFLC1.2	C09	61.19	67	26	0	1	67	5099226	5099426	6e-17	81.3
BoAFLC1.2	C09	62.71	59	22	0	1	59	30442602	30442778	8e-17	80.9
BoAFLC1.2	C09	67.80	59	19	0	1	59	28143113	28142937	1e-16	79.7
BoAFLC1.2	C09	62.07	58	22	0	1	58	59416661	59416834	3e-16	79.3
BoAFLC1.2	C09	53.75	80	34	2	1	78	56381156	56380920	3e-16	79.0
BoAFLC1.2	C09	55.56	72	30	1	1	70	42022825	42022610	9e-16	77.4
BoAFLC1.2	C09	59.02	61	25	0	1	61	42004263	42004081	1e-15	77.0
BoAFLC1.2	C09	59.32	59	24	0	1	59	4839344	4839168	2e-15	76.6
BoAFLC1.2	C09	55.56	63	28	0	1	63	2714321	2714509	3e-15	75.9
BoAFLC1.2	C09	66.67	54	18	0	6	59	60504172	60504333	7e-15	74.7
BoAFLC1.2	C09	44.93	69	37	1	2	70	54035795	54035998	3e-12	66.6
BoAFLC1.2	C09	52.83	53	25	0	1	53	24787125	24787283	6e-11	62.4
BoAFLC1.2	C09	96.55	29	1	0	108	136	62524904	62524990	1e-09	58.2
BoAFLC1.2	C09	100.00	28	0	0	108	135	62543385	62543468	1e-09	58.2
BoAFLC1.2	C09	96.43	28	1	0	108	135	62555112	62555195	5e-09	56.2
BoAFLC1.2	C09	100.00	26	0	0	163	188	62525558	62525635	5e-09	56.2
BoAFLC1.2	C09	100.00	25	0	0	163	187	62555997	62556071	3e-08	53.9
BoAFLC1.2	C09	35.09	57	37	0	2	58	5835613	5835783	4e-06	47.4
BoAFLC1.3	C09	100.00	61	0	0	1	61	62521626	62521808	3e-31	 123
BoAFLC1.3	C09	100.00	61	0	0	1	61	62538756	62538938	3e-31	 123
